id_recorrido,duracion_recorrido,fecha_origen_recorrido,id_estacion_origen,nombre_estacion_origen,direccion_estacion_origen,long_estacion_origen,lat_estacion_origen,fecha_destino_recorrido,id_estacion_destino,nombre_estacion_destino,direccion_estacion_destino,long_estacion_destino,lat_estacion_destino,id_usuario,modelo_bicicleta
7737009BAEcobici,1658,2020-05-18 13:06:42 UTC,33BAEcobici,033 - Facultad de Medicina,Pres. José Evaristo Uriburu 987,-58.3989807,-34.5970909,2020-05-18 13:34:20 UTC,175BAEcobici,147 - Constitución,Avenida Juan de Garay 1050,-58.380707,-34.626851,211329BAEcobici,ICONIC
7736832BAEcobici,833,2020-05-18 11:33:20 UTC,353BAEcobici,237 - Madero Office,"367 Sanchez De Thompson, Mariquita",-58.364695,-34.599036,2020-05-18 11:47:13 UTC,444BAEcobici,061-Ministerio de Economia,"Balcarce e Yrigoyen, Hipolito Av.",-58.370716,-34.608936,375284BAEcobici,ICONIC
7736640BAEcobici,355,2020-05-18 09:33:14 UTC,32BAEcobici,032 - Catedral,67 San Martin,-58.3735984,-34.6072074,2020-05-18 09:39:09 UTC,55BAEcobici,055 - Bouchard,Viamonte 101,-58.36966404,-34.5994122,375284BAEcobici,ICONIC
7736725BAEcobici,928,2020-05-18 10:26:20 UTC,215BAEcobici,113 - Guatemala,Guatemala 4773,-58.424996,-34.585878,2020-05-18 10:41:48 UTC,213BAEcobici,136 - Acevedo,Acevedo y Padilla,-58.442685,-34.599659,696BAEcobici,ICONIC
7738166BAEcobici,1206,2020-05-18 21:57:45 UTC,84BAEcobici,084 - Lavalle,Ayacucho 595,-58.3955144,-34.6023203,2020-05-18 22:17:51 UTC,29BAEcobici,029 - Parque Centenario,Av. Patricias Argentinas & Estivao,-58.4335573,-34.6079414,647418BAEcobici,ICONIC
7737832BAEcobici,526,2020-05-18 18:10:23 UTC,193BAEcobici,193 - ARENALES Y AGUERO,Arenales y Aguero,-58.4061652,-34.5908626,2020-05-18 18:19:09 UTC,25BAEcobici,025 - Plaza Guemes,"Salguero, Jeronimo & Mansilla, Lucio Norberto, General",-58.4161178,-34.5894269,5368BAEcobici,ICONIC
7737337BAEcobici,1574,2020-05-18 15:11:40 UTC,172BAEcobici,172 - BRASIL,BRASIL&DEFENSA,-58.371082,-34.625426,2020-05-18 15:37:54 UTC,135BAEcobici,135 - MARCELO T. DE ALVEAR,902 Esmeralda,-58.3787856,-34.5972818,46008BAEcobici,ICONIC
7737264BAEcobici,1728,2020-05-18 14:47:08 UTC,3BAEcobici,003 - ADUANA,Moreno & Av Paseo Colon,-58.3682604,-34.611032,2020-05-18 15:15:56 UTC,120BAEcobici,120 - HOSPITAL RAMOS MEJIA,3084 Agrelo,-58.4092876,-34.617509,37062BAEcobici,ICONIC
7738121BAEcobici,835,2020-05-18 21:11:58 UTC,75BAEcobici,075 - Plaza Primero de Mayo,238 Pichincha,-58.3989871,-34.6122976,2020-05-18 21:25:53 UTC,144BAEcobici,144 - PUEYRREDÓN,684 Boulogne Sur Mer & Tucuman,-58.4060944,-34.6018744,328122BAEcobici,ICONIC
