long;lat;id;nombre;anio_de_in;tipo;cantidad;ubicacion;clasificac;calle;altura;calle2;barrio;comuna;codigo_postal;codigo_postal_argentino
-58,45693756;-34,62665578;1;LINEA A CARABOBO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;CARABOBO AV.;Flores;Comuna 7;;
-58,44875669;-34,62369886;2;LINEA A PUAN;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;PUAN;Caballito;Comuna 6;;
-58,44137991;-34,62061572;3;LINEA A PRIMERA JUNTA;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;ROJAS;Caballito;Comuna 6;;
-58,43634685;-34,61814405;4;LINEA A ACOYTE;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;ACOYTE AV.;Caballito;Comuna 6;;
-58,42989608;-34,61527931;5;LINEA A RIO DE JANEIRO;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;RIO DE JANEIRO;Caballito;Comuna 6;;
-58,42085882;-34,61154618;6;LINEA A CASTRO BARROS;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;3900;;Almagro;Comuna 5;1204;C1204AAQ
-58,41454852;-34,610831;7;LINEA A LORIA;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;3400;;Balvanera;Comuna 3;1203;C1203AAS
-58,4063936;-34,61003498;8;LINEA A PLAZA MISERERE;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;0;JUJUY AV.;Balvanera;Comuna 3;;
-58,40035115;-34,60990016;9;LINEA A ALBERTI;2011;4U;1;VIA PUBLICA;SUBTE;RIVADAVIA AV.;2400;;Balvanera;Comuna 3;1034;C1034ACP
